left_sample_id,right_sample_id,dhash_distance,decision,rationale,duplicate_family_id
tbx11k:sick/s1948.png,tbx11k:sick/s2249.png,1,confirmed_copy,Matching anatomy and positioning; minor crop/border/brightness or re-export differences only,dhash-candidate-001
tbx11k:sick/s0274.png,tbx11k:sick/s3255.png,1,confirmed_copy,Matching anatomy and positioning; minor crop/border/brightness or re-export differences only,dhash-candidate-002
tbx11k:sick/s2082.png,tbx11k:sick/s3844.png,3,confirmed_copy,Matching anatomy and positioning; minor crop/border/brightness or re-export differences only,dhash-candidate-003
tbx11k:sick/s2293.png,tbx11k:sick/s4090.png,4,confirmed_copy,Matching anatomy and positioning; minor crop/border/brightness or re-export differences only,dhash-candidate-004
tbx11k:sick/s1957.png,tbx11k:sick/s2150.png,3,confirmed_copy,Matching anatomy and positioning; minor crop/border/brightness or re-export differences only,dhash-candidate-005
tbx11k:sick/s0926.png,tbx11k:sick/s2154.png,2,confirmed_copy,Matching anatomy and positioning; minor crop/border/brightness or re-export differences only,dhash-candidate-006
tbx11k:sick/s2488.png,tbx11k:sick/s3912.png,1,confirmed_copy,Matching anatomy and positioning; minor crop/border/brightness or re-export differences only,dhash-candidate-007
tbx11k:sick/s2339.png,tbx11k:sick/s3687.png,2,confirmed_copy,Matching anatomy and positioning; minor crop/border/brightness or re-export differences only,dhash-candidate-008
tbx11k:sick/s0256.png,tbx11k:sick/s2194.png,4,confirmed_copy,Matching anatomy and positioning; minor crop/border/brightness or re-export differences only,dhash-candidate-009
tbx11k:sick/s0138.png,tbx11k:sick/s2287.png,1,confirmed_copy,Matching anatomy and positioning; minor crop/border/brightness or re-export differences only,dhash-candidate-010
tbx11k:sick/s1122.png,tbx11k:sick/s4974.png,1,confirmed_copy,Matching anatomy and positioning; minor crop/border/brightness or re-export differences only,dhash-candidate-011
tbx11k:sick/s2578.png,tbx11k:sick/s4337.png,1,confirmed_copy,Matching anatomy and positioning; minor crop/border/brightness or re-export differences only,dhash-candidate-012
tbx11k:sick/s0963.png,tbx11k:sick/s3794.png,1,confirmed_copy,Matching anatomy and positioning; minor crop/border/brightness or re-export differences only,dhash-candidate-013
tbx11k:sick/s1908.png,tbx11k:sick/s4844.png,2,confirmed_copy,Matching anatomy and positioning; minor crop/border/brightness or re-export differences only,dhash-candidate-014
tbx11k:sick/s3610.png,tbx11k:sick/s3977.png,1,confirmed_copy,Matching anatomy and positioning; minor crop/border/brightness or re-export differences only,dhash-candidate-015
tbx11k:sick/s0369.png,tbx11k:sick/s0715.png,2,confirmed_copy,Matching anatomy and positioning; minor crop/border/brightness or re-export differences only,dhash-candidate-016
tbx11k:sick/s3050.png,tbx11k:sick/s4626.png,4,confirmed_copy,Matching anatomy and positioning; minor crop/border/brightness or re-export differences only,dhash-candidate-017
